Comps,Tier,Estilo,Unit1,Unit2,Unit3,TeambuilderURL
Brand Street Demon,A,Fast 8,Brand,Neeko,Samira,https://www.metatft.com/team-builder/_CgUI7AIQAQoFCOICEAIKCwjqAhADIgR4ZsABCgUIhQMQBAoFCJwDEAUKDAjgAhAVIgWvAWuaAQoFCPYCEBYKBQiIAxAXCgsI7QIQGyIEDK4BaxgMIAA%3D
Renekton Rapid Fire,C,Fast 9,Zeri,Sejuani,Renekton,https://www.metatft.com/team-builder/_CgUIjwMQAQoFCIQDEAIKBwjlAhADGAMKBQj0AhAECgsIhgMQBSIEMzrAAQoNCOsCEBQiBscDxQG7AQoNCPUCEBUiBvADxQGMAQoFCOcCEBYKDQiZAxAbGAMiBC8tigEYDCAA
Vexotech,A,Fast 8,Vex,Sejuani,Renekton,https://www.metatft.com/team-builder/_CgUIgQMQAgoNCJADEAMiBuoDpgG2AQoFCIQDEAQKCwiGAxAFIgQzeMABCgwI8wIQFSIFrAHFAWsKBQj%2FAhAWCgUIjAMQFwoFCOkCEBkKDwjxAhAbGAMiBvYDpQHCARgMIAA%3D
TF reroll,A,rr7,Twisted Fate,Braum,Darius,https://www.metatft.com/team-builder/_CgcIlgMQARgDCgUIgQMQAgoOCPcCEAMYAyIFeIEBwAEKDgjhAhAEGAMiBWaBAZsBCgcI7wIQCBgDCgsI6AIQFSIEDGuaAQoOCPACEBYYAyIFkwFlxQEKBwiZAxAbGAMYDCAA
Marksman Vanguards,A,Fast 8,Aphelios,Xayah,Leona,https://www.metatft.com/team-builder/_CgUIlgMQAQoMCJMDEAIiBTOBAZsBCgwIjgMQAyIFeIEBwAEKBQiLAxAECgwIqQMQFSIFZcUBjAEKBQj%2FAhAWCgUIjAMQFwoFCJsDEBkKCwj%2BAhAbIgQMrgFrGAwgAA%3D%3D
Zed Cypher,A,Fast 8,Zed,Renekton,Zeri,https://www.metatft.com/team-builder/_CgUI5QIQAQoFCOsCEAIKBQiGAxADCgUI5gIQBAoFCIQDEAUKBQj0AhAICgUI9QIQFQoFCO4CEBYKBQiZAxAbGAwgAA%3D%3D
Slayer reroll,A,rr6,Jarvan IV,Zed,Vayne,https://www.metatft.com/team-builder/_CgcI4QIQARgDCgUI9wIQAgoNCJMDEAMiBoEBmwHAAQoMCPQCEAQiBYQBDIMBCgcI4gIQBRgDCg4I7wIQCBgDIgWEAQyDAQoLCO4CEBUiBGWuAX8KBwiNAxAbGAMYDCAA
Fiddlesticks Bruiser,B,rr7,Fiddlesticks,Cho'Gath,Mordekaiser,https://www.metatft.com/team-builder/_CgUI4QIQAQoFCIEDEAIKDAiJAxADIgWBATrAAQoLCJADEAQiBGaBAToKBQiRAxAFCgUI4gIQBgoPCOQCEAkYAyIGyAOTAZ4BCgsIigMQFSIEZQyMARgMIAA%3D
Dynamo Exotech,A,Fast 8,Miss Fortune,Zeri,Sejuani,https://www.metatft.com/team-builder/_CgUI4QIQAgoNCJADEAMiBuoDgQGbAQoFCIQDEAQKCgiGAxAFIgMzMzMKDAj1AhAVIgXvA2WMAQoFCP8CEBYKBQiMAxAXCgUI8AIQGgoLCOgCEBsiBAxrmgEYDCAA
Vertical Exotech,S,Fast 8,Zeri,Sejuani,Renekton,https://www.metatft.com/team-builder/_CgUIgAMQAgoNCJADEAMiBuoDgQGbAQoFCIQDEAQKDAiGAxAFIgXsAzPAAQoMCPUCEBUiBfADZYwBCgUI%2FwIQFgoFCPoCEBcKDAjxAhAbIgWvAQGaARgMIAA%3D
Vertical Anima Squad,A,Fast 8,Xayah,Leona,Aurora,https://www.metatft.com/team-builder/_CgsI%2FAIQAiIEeWjAAQoMCI4DEAMiBXiBAcABCgUIiwMQBAoFCOsCEBQKCwj%2BAhAVIgQMrgFrCgUI%2BwIQFgoNCIwDEBciBq8BpAGaAQoFCI0DEBoKBQj%2FAhAbGAwgAA%3D%3D
Veigar reroll,A,rr6,Veigar,Ziggs,Kobuko,https://www.metatft.com/team-builder/_CgUInAMQAQoFCJADEAIKCwjqAhADIgR4ZsABCgUIhQMQBAoFCPkCEAUKBQiHAxAGCgwI8gIQFSIFUqwBrwEKDQiIAxAXIgalAZoBwgEKDAjgAhAbIgWvAWuaARgMIAA%3D
Vertical Golden Ox,A,Fast 8,Aphelios,Annie,Viego,https://www.metatft.com/team-builder/_CgUI5gIQAQoNCJIDEAIiBpABhAGvAQoMCJoDEAMiBXiBAcABCgUIhQMQBAoFCJMDEAUKBQiRAxAGCgUIlAMQBwoLCKkDEBUiBGUMjAEKDQiVAxAbIgasAaIBmgEYDCAA
Amp Strategists,A,Fast 8,Annie,Neeko,Samira,https://www.metatft.com/team-builder/_CgUInAMQAQoFCIADEAIKCwjqAhADIgR4ZsABCgUI%2BAIQBAoNCJUDEBUiBqwBogGaAQoPCPsCEBYYAyIGrAHFAa8BCgUIiAMQFwoFCOcCEBoKCwjtAhAbIgQMrgFrGAwgAA%3D%3D
